nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Michael  Leonard;Michael; Leonard;male;Ireland;null;null;null;null;0;0;0;0;0;0;null;null;null;;;1987-01-16;null
Jhonatan  Narváez;Jhonatan; Narváez;male;Ecuador;https://www.instagram.com/jhonatan_narvaez97/;https://www.strava.com/athletes/101626706;null;null;1152;262;808;23;968;1092;null;null;1154;65;174;1997-03-04;UAE Team Emirates - XRG
Thomas  Pidcock;Thomas; Pidcock;male;Great Britain;https://www.instagram.com/tompidcock/;https://www.strava.com/pros/16345903;null;null;1477;348;1556;137;841;2334;null;null;926;58;170;1999-07-30;Q36.5 Pro Cycling Team
Salvatore  Puccio;Salvatore; Puccio;male;Italy;https://www.instagram.com/pucciosalvatore;https://www.strava.com/athletes/anonimo_anonimo;null;null;366;20;262;83;547;402;null;null;2854;68;182;1989-08-31;INEOS Grenadiers
Carlos  Rodríguez;Carlos; Rodríguez;male;Spain;https://www.instagram.com/_carlosrc/;null;null;null;490;14;2224;401;2233;496;null;null;1065;67;183;2001-02-02;INEOS Grenadiers
Óscar  Rodríguez;Óscar; Rodríguez;male;Spain;https://www.instagram.com/o_rodgar;https://www.strava.com/pros/4776556;null;null;196;8;818;161;851;172;null;null;353;63;179;1995-05-06;INEOS Grenadiers
Luke  Rowe;Luke; Rowe;male;Great Britain;https://www.instagram.com/lukerowe1990/;https://www.strava.com/pros/785450;null;null;413;170;49;142;466;1185;null;null;1357;72;185;1990-03-10;null
Magnus  Sheffield;Magnus; Sheffield;male;United States;https://www.instagram.com/magnussheffield/;https://www.strava.com/athletes/12291626;null;null;699;42;335;1217;858;498;null;null;1997;73;183;2002-04-19;INEOS Grenadiers
Artem  Shmidt;Artem; Shmidt;male;United States;https://www.instagram.com/shmidtartem7;https://www.strava.com/athletes/11378500;null;null;33;24;6;10;5;24;null;null;914;76;191;2004-01-30;INEOS Grenadiers
Theodor  Storm;Theodor; Storm;male;Denmark;https://www.instagram.com/theodorstorm05/;https://www.strava.com/athletes/47925598;null;null;0;0;0;0;0;0;null;null;null;;181;2005-03-31;Team Lotto Kern-Haus PSD Bank
Ben  Swift;Ben; Swift;male;Great Britain;https://www.instagram.com/swiftybswift;https://www.strava.com/athletes/ben_swift;null;null;1626;716;568;87;960;1916;null;null;808;69;179;1987-11-05;INEOS Grenadiers
Connor  Swift;Connor; Swift;male;Great Britain;https://www.instagram.com/swiftconnor/;https://www.strava.com/pros/863203;null;null;414;177;122;307;587;678;null;null;689;75;190;1995-10-30;INEOS Grenadiers
Joshua  Tarling;Joshua; Tarling;male;Great Britain;https://www.instagram.com/joshytarling/;https://www.strava.com/athletes/37781631?hl=fr-FR;null;null;26;16;6;1120;135;126;null;null;149;78;194;2004-02-15;INEOS Grenadiers
Geraint  Thomas;Geraint; Thomas;male;Great Britain;https://www.instagram.com/geraintthomas86;null;null;null;2692;306;4203;5423;6394;1267;null;null;138;71;183;1986-05-25;INEOS Grenadiers
Ben  Turner;Ben; Turner;male;Great Britain;https://www.instagram.com/benelliotturner/;https://strava.com/athletes/18956034;null;null;276;110;41;118;234;428;null;null;433;74;194;1999-05-28;INEOS Grenadiers
Lewis  Askey;Lewis; Askey;male;Great Britain;https://www.instagram.com/lewis_askey/;https://www.strava.com/athletes/11514904;null;null;316;160;37;11;79;519;null;null;380;75;187;2001-05-04;Groupama - FDJ
Cyril  Barthe;Cyril; Barthe;male;France;https://www.instagram.com/cyril_barthe;https://www.strava.com/pros/cyril_barthe;null;null;412;248;95;6;296;228;null;null;1691;70;184;1996-02-14;Groupama - FDJ
Sven Erik  Bystrøm;Sven;Erik  Bystrøm;male;Norway;https://www.instagram.com/sebystrom;https://www.strava.com/athletes/2542098;null;null;663;117;340;111;759;783;null;null;1686;73;188;1992-01-21;Groupama - FDJ
Clément  Davy;Clément; Davy;male;France;https://www.instagram.com/clementdavy53/;https://www.strava.com/pros/8843498;null;null;16;4;0;156;80;35;null;null;1002;73;183;1998-07-17;Groupama - FDJ
David  Gaudu;David; Gaudu;male;France;https://www.instagram.com/david_gaudu/;https://www.strava.com/pros/4774417;null;null;1164;17;3977;160;3021;1754;null;null;704;53;172;1996-10-10;Groupama - FDJ
Kevin  Geniets;Kevin; Geniets;male;Luxembourg;https://www.instagram.com/genietskevin/;https://www.strava.com/athletes/13787818;null;null;270;48;232;216;360;564;null;null;282;73;193;1997-01-09;Groupama - FDJ
Lorenzo  Germani;Lorenzo; Germani;male;Italy;https://www.instagram.com/lorenzogermanii/;https://www.strava.com/athletes/34697234;null;null;56;6;38;59;110;53;null;null;1819;66;180;2002-03-03;Groupama - FDJ
Romain  Grégoire;Romain; Grégoire;male;France;null;null;null;null;0;0;0;0;3;0;null;null;null;;;1926-05-30;null
Thibaud  Gruel;Thibaud; Gruel;male;France;https://www.instagram.com/thibaud.gruel/;https://www.strava.com/athletes/38509850;null;null;160;41;51;40;29;99;null;null;460;70;180;2004-05-01;Groupama - FDJ
Ignatas  Konovalovas;Ignatas; Konovalovas;male;Lithuania;https://www.instagram.com/ignaskonovalovas/;https://strava.com/athletes/ikonovalovas;null;null;134;2;80;1344;760;693;null;null;1883;74;190;1985-12-08;null
Stefan  Küng;Stefan; Küng;male;Switzerland;https://www.instagram.com/stefankueng;https://www.strava.com/pros/133606;null;null;1622;396;522;5700;1654;2694;null;null;351;83;193;1993-11-16;Groupama - FDJ
Olivier Le Gac;Olivier;Le Gac;male;France;https://www.instagram.com/legacolg/;https://strava.com/athletes/olegac;null;null;171;118;84;4;410;687;null;null;682;70;180;1993-08-27;Groupama - FDJ
Eddy Le Huitouze;Eddy;Le Huitouze;male;France;https://www.instagram.com/eddylehuitouze/;https://www.strava.com/athletes/11475142;null;null;0;30;0;88;36;4;null;null;725;72;184;2003-04-03;Groupama - FDJ
Fabian  Lienhard;Fabian; Lienhard;male;Switzerland;https://www.instagram.com/fablienhard/;https://www.strava.com/athletes/19161146;null;null;334;298;18;27;178;727;null;null;1026;73;183;1993-09-03;Tudor Pro Cycling Team
Valentin  Madouas;Valentin; Madouas;male;France;https://www.instagram.com/valentinmadouas;https://www.strava.com/pros/2404608;null;null;1712;108;1623;93;1202;3103;null;null;930;71;179;1996-07-12;Groupama - FDJ
